Primary analysis: cause specific Cox models (time origin = admission),,,,  
Covariate,Lesion resolution HR (95% CI),p-value,Complications HR (95%),p-value
HIV positive (vs negative),0.62 (0.34-1.16),0.14,0.92 (0.44-1.92),0.83
Male (vs Female),1.5 (1.18-1.92),<0.005,0.79 (0.53-1.18),0.25
Sexual transmission (vs other transmission),0.83 (0.53-1.3),0.41,0.56 (0.29-1.07),0.08
Baseline lesion counts (/100),0.87 (0.78-0.97),0.01,0.96 (0.85-1.09),0.56
Basline lesion locations,,,,
Genital,1.11 (0.7-1.75),0.66,2.32 (1.06-5.09),0.04
Limbs,1.47 (1.04-2.07),0.03,0.95 (0.57-1.58),0.84
Face,0.88 (0.62-1.26),0.48,1.09 (0.54-2.22),0.8
Torso,0.92 (0.66-1.3),0.65,0.87 (0.44-1.73),0.7
,,,,
Secondary analysis: cause specific Cox models (time origin = onset of symptoms),,,,
Covariate,Lesion resolution HR (95% CI),p-value,Complications HR (95%),p-value
HIV positive (vs negative),0.72 (0.37-1.37),0.31,1.34 (0.64-2.8),0.44
Male (vs Female),1.54 (1.2-1.97),<0.005,0.85 (0.56-1.29),0.45
Sexual transmission (vs other transmission),0.64 (0.41-1.01),0.05,0.41 (0.21-0.8),0.01
Baseline lesion counts (/100),0.88 (0.79-0.98),0.02,0.97 (0.85-1.1),0.66
Basline lesion locations,,,,
Genital,1.43 (0.91-2.24),0.12,2.71 (1.28-5.74),0.01
Limbs,1.37 (0.96-1.95),0.09,0.71 (0.42-1.2),0.2
Face,0.77 (0.53-1.11),0.16,1.17 (0.59-2.31),0.65
Torso,1.12 (0.79-1.59),0.52,1.07 (0.56-2.07),0.83
,,,,
Secondary analysis: Cox model with complications by D14 and censoring on D28,,,,
Covariate,HR (95% CI),p-value,,
HIV positive (vs negative),0.6 (0.33-1.07),0.08,,
Male (vs Female),1.54 (1.21-1.95),<0.005,,
Sexual transmission (vs other transmission),0.79 (0.51-1.22),0.28,,
Baseline lesion counts (/100),0.84 (0.75-0.94),<0.005,,
Basline lesion locations,,,,
Genital,1.04 (0.67-1.61),0.86,,
Limbs,1.54 (1.1-2.15),0.01,,
Face,0.87 (0.62-1.24),0.44,,
Torso,0.93 (0.67-1.29),0.66,,
